ticker,quarter_end,nb_alert_days_below_20
AAPL,2022-09-30,1
AAPL,2022-12-31,13
ABBV,2020-03-31,62
ABBV,2022-06-30,62
ABBV,2022-09-30,64
ABBV,2022-12-31,63
ABBV,2023-03-31,62
ABBV,2023-06-30,62
ABBV,2023-09-30,63
ACN,2022-09-30,12
ACN,2023-03-31,22
ADBE,2022-09-30,11
ADBE,2025-03-31,13
AMAT,2020-03-31,40
AMAT,2020-06-30,46
AMAT,2020-09-30,33
AMAT,2020-12-31,15
AMAT,2022-03-31,21
AMAT,2022-09-30,44
AMAT,2023-06-30,34
AMAT,2024-12-31,28
ANET,2020-03-31,59
ANET,2020-06-30,63
ANET,2020-09-30,52
ANET,2020-12-31,14
ASML,2022-06-30,11
ASML,2022-09-30,17
ASML,2022-12-31,8
AVGO,2020-12-31,42
AVGO,2021-03-31,42
AVGO,2021-06-30,42
AVGO,2021-09-30,43
AVGO,2021-12-31,29
AVGO,2022-03-31,42
AVGO,2022-06-30,42
AVGO,2022-09-30,44
AVGO,2022-12-31,43
AVGO,2023-03-31,44
AVGO,2023-06-30,22
AVGO,2023-09-30,1
BKNG,2025-03-31,23
BMY,2021-09-30,64
BMY,2021-12-31,64
BMY,2022-03-31,62
BMY,2022-06-30,62
BMY,2022-09-30,64
BMY,2022-12-31,63
BMY,2023-09-30,63
BMY,2023-12-31,63
BMY,2024-12-31,64
CALM,2022-12-31,24
CALM,2023-03-31,25
CALM,2023-06-30,19
CALM,2024-06-30,19
CBOE,2020-06-30,63
CBOE,2020-09-30,64
CBOE,2020-12-31,64
CBOE,2021-03-31,61
CBOE,2021-06-30,63
CBOE,2021-09-30,64
CBOE,2022-03-31,1
CBRE,2020-09-30,64
CBRE,2020-12-31,64
CBRE,2021-09-30,64
CBRE,2021-12-31,64
CCEP,2022-09-30,63
CCEP,2022-12-31,126
CCEP,2023-03-31,62
CCEP,2023-06-30,124
CCEP,2023-09-30,63
CCEP,2023-12-31,126
CCEP,2024-03-31,61
CCEP,2024-12-31,128
CCEP,2025-03-31,60
CHRW,2022-12-31,63
CNC,2023-03-31,62
COF,2024-09-30,64
CRM,2024-06-30,2
CROX,2021-12-31,10
CROX,2023-06-30,62
CROX,2023-09-30,63
CROX,2023-12-31,63
CROX,2024-06-30,63
CROX,2024-09-30,64
CROX,2024-12-31,64
CSWI,2023-09-30,25
CSWI,2023-12-31,51
CTAS,2020-03-31,10
CVCO,2020-06-30,2
CVCO,2020-09-30,3
CVCO,2022-12-31,63
CVCO,2023-03-31,62
CVCO,2023-09-30,63
DBX,2021-12-31,64
DBX,2022-03-31,62
DBX,2022-06-30,62
DBX,2022-09-30,64
DBX,2022-12-31,63
DBX,2023-03-31,62
DBX,2023-06-30,62
DBX,2023-09-30,63
DBX,2023-12-31,63
DBX,2024-03-31,61
DBX,2024-06-30,63
DECK,2023-12-31,24
DOCU,2023-09-30,41
DOCU,2023-12-31,41
DOCU,2024-03-31,40
DOCU,2024-06-30,41
DOCU,2024-09-30,42
DOCU,2024-12-31,24
DOCU,2025-03-31,28
DOOO,2024-03-31,40
ENPH,2023-09-30,2
ENPH,2024-12-31,1
EPAM,2024-09-30,8
ETSY,2022-09-30,1
ETSY,2022-12-31,16
ETSY,2023-06-30,30
ETSY,2023-09-30,54
ETSY,2023-12-31,63
ETSY,2024-06-30,63
ETSY,2024-09-30,64
ETSY,2024-12-31,64
EXEL,2022-06-30,61
EXPD,2022-06-30,39
EXPD,2022-09-30,64
EXPD,2022-12-31,63
EXPD,2023-03-31,62
FRHC,2025-03-31,60
FTNT,2020-03-31,4
FTNT,2023-12-31,15
GDDY,2020-03-31,44
GDDY,2020-06-30,45
GMAB,2020-03-31,62
GMAB,2021-03-31,61
GMAB,2021-06-30,63
GMAB,2023-03-31,62
GMAB,2023-09-30,63
GMAB,2023-12-31,63
GMAB,2024-03-31,61
GMAB,2024-06-30,63
GMAB,2024-09-30,64
GMAB,2024-12-31,64
GNRC,2024-09-30,64
GNRC,2024-12-31,64
GOOG,2022-09-30,2
GOOG,2022-12-31,28
GOOG,2023-03-31,21
GOOGL,2022-09-30,3
GOOGL,2022-12-31,28
GOOGL,2023-03-31,22
HOLX,2020-12-31,4
HOLX,2021-03-31,3
HOLX,2021-06-30,3
HOLX,2021-09-30,4
HOLX,2021-12-31,5
HOLX,2022-03-31,4
HUM,2022-09-30,1
HUM,2023-03-31,62
HUM,2023-06-30,62
HZNP,2022-06-30,38
HZNP,2022-09-30,64
ICLR,2020-03-31,9
ICLR,2020-06-30,9
ICLR,2020-09-30,53
ICLR,2021-03-31,25
IDCC,2024-03-31,61
INCY,2021-03-31,60
IT,2020-12-31,24
IT,2021-03-31,39
IT,2021-06-30,23
IT,2021-09-30,22
IT,2021-12-31,1
IT,2022-03-31,50
IT,2022-06-30,59
JCOM,2021-03-31,61
JD,2024-06-30,63
KLAC,2020-03-31,22
KLAC,2020-06-30,50
KLAC,2020-09-30,54
KLAC,2020-12-31,17
KLAC,2022-03-31,6
KLAC,2022-06-30,51
KLAC,2022-09-30,64
KLAC,2022-12-31,63
KLAC,2023-03-31,58
KLAC,2023-06-30,46
KLAC,2023-09-30,34
KLAC,2023-12-31,13
LH,2021-03-31,61
LH,2021-06-30,63
LH,2021-09-30,64
LH,2021-12-31,64
LHCG,2020-06-30,1
LITE,2021-06-30,62
LITE,2021-09-30,62
LOGI,2020-12-31,1
LOGI,2021-03-31,51
LOGI,2021-12-31,63
LPLA,2022-09-30,1
LRCX,2020-03-31,2
LRCX,2022-09-30,5
LRCX,2022-12-31,4
LRCX,2023-03-31,5
LSTR,2022-09-30,5
LSTR,2022-12-31,68
LSTR,2023-03-31,62
LULU,2024-09-30,44
LYV,2022-12-31,63
MCHP,2022-06-30,62
MCHP,2022-09-30,64
MCHP,2022-12-31,63
MCHP,2023-03-31,62
MCHP,2023-06-30,62
MCHP,2023-09-30,63
MCHP,2023-12-31,63
MEDP,2020-09-30,9
MEDP,2022-09-30,9
MEDP,2022-12-31,16
MEDP,2023-03-31,38
MEDP,2023-06-30,61
MEDP,2023-09-30,2
MEDP,2023-12-31,5
MEDP,2024-09-30,1
MEDP,2024-12-31,20
MEDP,2025-03-31,59
MELI,2023-03-31,8
MELI,2023-06-30,62
MELI,2023-09-30,63
MELI,2023-12-31,63
MELI,2024-03-31,61
MELI,2024-06-30,63
MELI,2024-09-30,58
MELI,2024-12-31,64
MELI,2025-03-31,60
META,2020-03-31,2
META,2022-03-31,40
META,2022-06-30,62
MOH,2023-03-31,1
MORN,2020-06-30,2
NICE,2024-09-30,64
NICE,2024-12-31,64
NICE,2025-03-31,60
NRG,2022-03-31,1
NRG,2022-06-30,62
NTES,2020-03-31,62
NTES,2020-06-30,63
NTES,2020-09-30,64
NTES,2020-12-31,64
NTES,2021-03-31,61
NTES,2021-06-30,63
NTES,2021-09-30,64
NTES,2022-06-30,62
NTES,2022-09-30,64
NTES,2022-12-31,63
NTES,2023-03-31,62
NTES,2023-06-30,62
NTES,2023-09-30,63
NTES,2025-03-31,60
NVR,2021-09-30,64
NVR,2022-12-31,63
OLLI,2021-03-31,42
OMAB,2020-03-31,62
OMAB,2024-03-31,61
OMAB,2024-12-31,64
OMAB,2025-03-31,60
ON,2021-12-31,19
ON,2022-03-31,16
ORLY,2023-03-31,56
PANW,2020-03-31,19
PANW,2020-12-31,3
PANW,2022-12-31,7
PANW,2023-03-31,4
PDD,2023-09-30,63
PDD,2023-12-31,63
PDD,2024-03-31,61
PDD,2024-06-30,63
PDD,2024-09-30,64
PDD,2024-12-31,64
PDD,2025-03-31,60
PEGA,2024-03-31,61
PEGA,2024-06-30,63
PFE,2022-06-30,61
PFE,2022-09-30,63
PFE,2022-12-31,63
PFE,2023-03-31,62
PHM,2023-09-30,63
POOL,2023-06-30,62
POOL,2023-09-30,63
POOL,2023-12-31,63
POOL,2024-03-31,61
POOL,2024-09-30,8
PPC,2024-09-30,1
PRIM,2024-12-31,64
PYPL,2022-06-30,32
PYPL,2022-09-30,19
PYPL,2024-09-30,64
PYPL,2024-12-31,64
PYPL,2025-03-31,60
QCOM,2022-12-31,4
QCOM,2023-03-31,1
QCOM,2023-12-31,4
QCOM,2024-03-31,4
QCOM,2024-12-31,2
QCOM,2025-03-31,1
QLYS,2024-06-30,6
QLYS,2024-09-30,38
QLYS,2024-12-31,1
QLYS,2025-03-31,4
QRVO,2021-09-30,62
QRVO,2021-12-31,63
REGN,2021-09-30,1
REGN,2021-12-31,64
REGN,2022-03-31,62
REGN,2022-06-30,62
REGN,2022-09-30,64
REGN,2022-12-31,63
REGN,2023-06-30,1
REGN,2023-09-30,14
RJF,2021-06-30,63
RJF,2022-03-31,62
RJF,2022-06-30,62
RYAAY,2025-03-31,60
SCHW,2020-03-31,62
SCHW,2022-09-30,1
SCHW,2024-09-30,64
SNEX,2022-03-31,62
SPSC,2020-03-31,1
SYF,2024-12-31,64
SYF,2025-03-31,60
TER,2022-03-31,4
TROW,2021-09-30,1
TROW,2021-12-31,64
TROW,2022-03-31,62
TROW,2022-06-30,62
TTWO,2020-03-31,61
TTWO,2020-06-30,1
TTWO,2020-09-30,44
TTWO,2020-12-31,51
TTWO,2021-03-31,3
ULTA,2020-03-31,29
ULTA,2020-12-31,5
ULTA,2021-06-30,42
ULTA,2022-06-30,6
UNH,2020-06-30,63
UNH,2023-03-31,55
UNH,2023-06-30,62
UTHR,2025-03-31,60
VRTX,2022-06-30,1
VRTX,2022-09-30,48
VRTX,2022-12-31,13
VRTX,2023-03-31,39
WIX,2025-03-31,1
WSM,2022-03-31,43
WSM,2023-03-31,44
Z,2022-06-30,62
Z,2022-09-30,64
Z,2022-12-31,63
Z,2023-03-31,62
ZG,2022-06-30,62
ZG,2022-09-30,64
ZG,2022-12-31,63
ZG,2023-03-31,62
ZM,2024-03-31,40
ZM,2024-06-30,41
ZM,2024-09-30,42
ZM,2024-12-31,41
ZM,2025-03-31,40
